model_name,trial_id,best_epoch,val_return_rmse,val_return_mae,val_direction_accuracy,design_purpose,lstm_units,dropout,learning_rate,filters,kernel_size,conv_layers,padding,loss_name
lstm_baseline,1,15,0.06538453964234,0.05135290324687958,0.5039370078740157,,32,0.2,0.001,,,,,
lstm_baseline,2,6,0.06701794259930528,0.05206475779414177,0.41338582677165353,,64,0.2,0.001,,,,,
lstm_baseline,3,5,0.0679166729970697,0.05269752815365791,0.5,,64,0.1,0.001,,,,,
cnn_bilstm_no_sentiment,1,3,0.065244469461239,0.051214225590229034,0.4881889763779528,基础模型,32,0.2,0.001,32.0,3.0,1.0,same,mse
cnn_bilstm_no_sentiment,2,2,0.06539690918960038,0.05070149153470993,0.4645669291338583,扩大时间卷积感受野,64,0.2,0.001,32.0,5.0,1.0,same,mse
cnn_bilstm_no_sentiment,3,5,0.06587048692508,0.050931621342897415,0.5275590551181102,增加特征通道和LSTM容量,64,0.1,0.001,64.0,3.0,1.0,same,mse
cnn_bilstm_no_sentiment,4,2,0.07172311304155848,0.05693968012928963,0.42913385826771655,降低学习率提升稳定性,64,0.1,0.0005,32.0,5.0,1.0,same,mse
cnn_bilstm_no_sentiment,5,3,0.06538624887282218,0.050442639738321304,0.5511811023622047,较大容量模型,64,0.2,0.0005,64.0,5.0,1.0,same,mse
cnn_bilstm_final,1,5,0.06591532666598164,0.051746122539043427,0.49606299212598426,基础模型,32,0.2,0.001,32.0,3.0,1.0,same,mse
cnn_bilstm_final,2,2,0.06506088924452434,0.05051179975271225,0.531496062992126,扩大时间卷积感受野,64,0.2,0.001,32.0,5.0,1.0,same,mse
cnn_bilstm_final,3,4,0.0660669832386549,0.05226768180727959,0.452755905511811,增加特征通道和LSTM容量,64,0.1,0.001,64.0,3.0,1.0,same,mse
cnn_bilstm_final,4,3,0.06601650855359076,0.05235658213496208,0.452755905511811,降低学习率提升稳定性,64,0.1,0.0005,32.0,5.0,1.0,same,mse
cnn_bilstm_final,5,3,0.06627503923933363,0.0521014966070652,0.484251968503937,较大容量模型,64,0.2,0.0005,64.0,5.0,1.0,same,mse
