trial_id,filters,kernel_size,conv_layers,padding,lstm_units,dropout,learning_rate,batch_size,class_weight,best_epoch,best_threshold,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1
1,16,2,1,valid,16,0.01,0.001,32,none,1,0.55,0.5807692307692308,0.5,0.0,0.0,0.0
2,16,2,1,same,16,0.01,0.0005,32,balanced,6,0.55,0.5807692307692308,0.5,0.0,0.0,0.0
3,16,3,1,valid,16,0.1,0.001,16,none,1,0.55,0.5807692307692308,0.5,0.0,0.0,0.0
4,16,3,1,same,16,0.2,0.001,32,balanced,25,0.5,0.6115384615384616,0.5851813597423903,0.5476190476190477,0.42201834862385323,0.47668393782383417
5,16,5,1,same,16,0.3,0.0005,64,none,10,0.55,0.5807692307692308,0.5,0.0,0.0,0.0
6,16,2,2,same,16,0.4,0.0002,64,balanced,44,0.5,0.5192307692307693,0.5095388541223647,0.4298245614035088,0.44954128440366975,0.43946188340807174
7,16,3,2,same,32,0.01,0.001,32,none,2,0.55,0.5807692307692308,0.5,0.0,0.0,0.0
8,16,5,2,same,32,0.01,0.0005,32,balanced,34,0.55,0.6346153846153846,0.5808068533932803,0.675,0.24770642201834864,0.3624161073825503
9,16,2,1,valid,32,0.1,0.001,16,none,2,0.55,0.5807692307692308,0.5,0.0,0.0,0.0
10,16,2,1,same,32,0.2,0.001,32,balanced,2,0.55,0.5807692307692308,0.5,0.0,0.0,0.0
11,16,3,1,valid,32,0.3,0.0005,64,none,1,0.55,0.5807692307692308,0.5,0.0,0.0,0.0
12,16,3,1,same,32,0.4,0.0002,64,balanced,9,0.5,0.5807692307692308,0.5548636004617534,0.5,0.3944954128440367,0.441025641025641
13,32,5,1,same,16,0.01,0.001,32,none,2,0.55,0.5807692307692308,0.5,0.0,0.0,0.0
14,32,2,2,same,16,0.01,0.0005,32,balanced,5,0.55,0.5807692307692308,0.5,0.0,0.0,0.0
15,32,3,2,same,16,0.1,0.001,16,none,2,0.55,0.5807692307692308,0.5,0.0,0.0,0.0
16,32,5,2,same,16,0.2,0.001,32,balanced,1,0.5,0.5884615384615385,0.5244850841484903,0.5384615384615384,0.12844036697247707,0.2074074074074074
17,32,2,1,valid,16,0.3,0.0005,64,none,3,0.55,0.6115384615384616,0.5405249407618932,0.7857142857142857,0.10091743119266056,0.17886178861788618
18,32,2,1,same,16,0.4,0.0002,64,balanced,63,0.5,0.5653846153846154,0.5377908742936994,0.47619047619047616,0.3669724770642202,0.41450777202072536
