trial_id,filters,kernel_size,conv_layers,padding,lstm_units,dropout,learning_rate,batch_size,loss,best_epoch,val_rmse,val_mae,val_mape,val_direction_accuracy
1,16,2,1,valid,16,0.1,0.001,32,mse,3,0.06769327843015521,0.054911915212869644,103.0524492263794,0.5807692307692308
2,16,2,1,same,32,0.1,0.001,16,mse,1,0.06956193252333723,0.05689370632171631,122.45206832885742,0.41923076923076924
3,16,3,1,valid,16,0.2,0.001,32,mse,1,0.06887658167643834,0.055724263191223145,109.52723026275635,0.4153846153846154
4,16,3,1,same,32,0.2,0.0005,16,huber,1,0.0691982635186632,0.05600979924201965,104.66235876083374,0.45384615384615384
5,16,2,2,valid,32,0.3,0.0005,32,huber,1,0.06980598651827893,0.057100292295217514,124.77155923843384,0.41923076923076924
6,16,2,2,same,16,0.2,0.001,16,mse,1,0.06991969097178924,0.0571017861366272,120.00913619995117,0.41923076923076924
7,32,2,1,valid,16,0.1,0.001,32,mse,3,0.06896690767992368,0.05525150150060654,107.18826055526733,0.5153846153846153
8,32,2,1,same,32,0.2,0.001,32,mse,2,0.06810752250740747,0.055486008524894714,105.73633909225464,0.47307692307692306
9,32,2,1,same,64,0.3,0.0005,16,huber,1,0.06874337313423273,0.05595758184790611,104.5050859451294,0.4461538461538462
10,32,3,1,valid,32,0.1,0.001,16,mse,1,0.06777132715353035,0.055193617939949036,104.25912141799927,0.4846153846153846
11,32,3,1,same,64,0.2,0.0005,32,huber,1,0.06894305565898261,0.055569905787706375,128.22656631469727,0.4807692307692308
12,32,2,2,valid,32,0.2,0.0005,32,mse,1,0.06982255146730315,0.056158337742090225,109.29112434387207,0.5423076923076923
13,32,2,2,same,64,0.3,0.001,16,huber,1,0.0689335550976183,0.05620664358139038,105.61398267745972,0.41923076923076924
14,32,3,2,same,32,0.1,0.0005,32,mse,1,0.06987213611342435,0.05701234191656113,114.31816816329956,0.41923076923076924
15,64,2,1,valid,32,0.2,0.001,16,mse,1,0.0679386029581643,0.05547180399298668,109.55390930175781,0.46153846153846156
16,64,2,1,same,64,0.3,0.0005,32,huber,1,0.06907859581776309,0.05626348406076431,111.40402555465698,0.4461538461538462
17,64,3,1,valid,32,0.1,0.001,32,mse,1,0.06915477133823641,0.05641033872961998,107.34696388244629,0.41923076923076924
18,64,3,1,same,64,0.2,0.0005,16,huber,1,0.06890416700648871,0.05617251992225647,105.096435546875,0.41923076923076924
19,64,2,2,valid,64,0.2,0.0005,16,mse,1,0.06873935270224994,0.055880237370729446,102.26079225540161,0.4230769230769231
20,64,2,2,same,32,0.3,0.001,32,huber,1,0.06962479275594682,0.05694675073027611,119.04689073562622,0.41923076923076924
21,64,3,2,same,64,0.1,0.0005,16,mse,1,0.06959734585302013,0.05634959787130356,112.26352453231812,0.41923076923076924
22,16,3,2,same,16,0.3,0.001,32,huber,2,0.06935033850144619,0.05691646412014961,124.18074607849121,0.41923076923076924
23,32,3,2,valid,16,0.2,0.0005,16,mse,1,0.06837986570882072,0.05573568865656853,102.62669324874878,0.5192307692307693
24,64,2,1,same,16,0.1,0.001,32,huber,1,0.06905948907990425,0.056858040392398834,127.30940580368042,0.43846153846153846
